event,node,start,end
form start,,1596111347183,
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/enum_office_city,1596111347183,1596111348475
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/enum_id,1596111348487,1596111349474
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/a1_informed_consent,1596111349485,1596111351822
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/a6_the_end,1596111351832,1596111358978
end screen,,1596111358993,1596111360001
form save,,1596111360463,
form exit,,1596111360463,
form finalize,,1596111360463,
